City,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,
St. John’s,566.00 ,554.00 ,559.00 ,565.00 ,570.00 ,567.00 ,513.00 ,517.00 ,552.00 ,575.00 ,589.00 ,607.00 ,618.00 ,634.00 ,635.00 ,614.00 ,630.00 ,677.00 ,725.00 ,771.00 ,798.00 ,864.00 ,888.00 ,923.00 ,958.00 ,
Halifax,595.00 ,604.00 ,610.00 ,615.00 ,617.00 ,616.00 ,631.00 ,637.00 ,648.00 ,673.00 ,704.00 ,720.00 ,747.00 ,762.00 ,799.00 ,815.00 ,833.00 ,877.00 ,891.00 ,925.00 ,954.00 ,976.00 ,1005.00 ,1048.00 ,1063.00 ,
Moncton,469.00 ,479.00 ,495.00 ,504.00 ,513.00 ,523.00 ,531.00 ,538.00 ,560.00 ,561.00 ,578.00 ,588.00 ,611.00 ,612.00 ,636.00 ,643.00 ,656.00 ,675.00 ,691.00 ,715.00 ,731.00 ,742.00 ,762.00 ,760.00 ,798.00 ,
Saint John,429.00 ,436.00 ,439.00 ,437.00 ,441.00 ,449.00 ,452.00 ,457.00 ,460.00 ,483.00 ,492.00 ,504.00 ,520.00 ,526.00 ,556.00 ,570.00 ,618.00 ,644.00 ,645.00 ,670.00 ,691.00 ,691.00 ,714.00 ,718.00 ,720.00 ,
Saguenay,420.00 ,419.00 ,416.00 ,417.00 ,423.00 ,425.00 ,428.00 ,428.00 ,438.00 ,439.00 ,440.00 ,457.00 ,459.00 ,472.00 ,485.00 ,490.00 ,518.00 ,518.00 ,535.00 ,557.00 ,549.00 ,571.00 ,595.00 ,598.00 ,587.00 ,
Québec,501.00 ,502.00 ,501.00 ,513.00 ,511.00 ,513.00 ,513.00 ,511.00 ,518.00 ,538.00 ,550.00 ,567.00 ,596.00 ,621.00 ,637.00 ,641.00 ,653.00 ,676.00 ,692.00 ,718.00 ,741.00 ,757.00 ,775.00 ,788.00 ,808.00 ,
Sherbrooke ,408.00 ,418.00 ,420.00 ,422.00 ,426.00 ,426.00 ,433.00 ,434.00 ,437.00 ,446.00 ,456.00 ,471.00 ,495.00 ,505.00 ,515.00 ,529.00 ,543.00 ,553.00 ,566.00 ,577.00 ,578.00 ,591.00 ,604.00 ,608.00 ,622.00 ,
Trois-Rivières,395.00 ,400.00 ,402.00 ,406.00 ,405.00 ,406.00 ,411.00 ,403.00 ,413.00 ,419.00 ,431.00 ,436.00 ,457.00 ,474.00 ,488.00 ,487.00 ,505.00 ,520.00 ,533.00 ,547.00 ,550.00 ,555.00 ,568.00 ,581.00 ,587.00 ,
Montréal ,488.00 ,484.00 ,484.00 ,494.00 ,491.00 ,491.00 ,499.00 ,506.00 ,509.00 ,529.00 ,552.00 ,575.00 ,594.00 ,616.00 ,636.00 ,647.00 ,659.00 ,669.00 ,700.00 ,719.00 ,711.00 ,730.00 ,739.00 ,760.00 ,791.00 ,
Gatineau,513.00 ,519.00 ,528.00 ,536.00 ,537.00 ,530.00 ,529.00 ,534.00 ,544.00 ,573.00 ,599.00 ,639.00 ,663.00 ,660.00 ,667.00 ,662.00 ,677.00 ,690.00 ,711.00 ,731.00 ,743.00 ,744.00 ,750.00 ,751.00 ,762.00 ,
